   GoodVibes v3.0.1 2025/01/20 15:27:11,,,,,,,,,,,,
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).,,,,,,,,
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246,,,,,,,,,,,,
   Requested: --qs truhlar --ssymm --imag -c 1 -t 333.15 --csv --spc orcasp ,,,,,,,,,,,,
,,,,,,,,,,,,
   Temperature = 333.15 Kelvin   Concentration = 1.0 mol/l,,,,,,,,,,,,
   All energetic values below shown in Hartree unless otherwise specified.,,,,,,,,,,,,
   Using vibrational scale factor 1.0 for PBEPBE/def2SVP/W06 level of theory,,,,,,,,,,,,
,,,,,,,,,,,,
   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.,,,,,,,,,,,,
   QS = Truhlar: Using an RRHO treatment where low frequencies are adjusted to the cut-off value.,,,,,,,,,,,,
   REF: Ribeiro, R. F.; Marenich, A. V.; Cramer, C. J.; Truhlar, D. G. J. Phys. Chem. B 2011,115, 14556-14562,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
   Ssymm requested. Symmetry contribution to entropy to be calculated using S. Patchkovskii's ,,,,,,,,,,,,
"   open source software ""Brute Force Symmetry Analyzer"" available under GNU General Public License.",,,,,,,,,,,,
   REF: (C) 1996, 2003 S. Patchkovskii, Serguei.Patchkovskii@sympatico.ca,,,,,,,,,,
,,,,,,,,,,,,
   Atomic radii used to calculate internal symmetry based on Cambridge Structural Database covalent radii.,,,,,,,,,,,,
   REF: C. R. Groom, I. J. Bruno, M. P. Lightfoot and S. C. Ward, Acta Cryst. 2016, B72, 171-179,,,,,,,
   Cordero, B.; Gomez V.; Platero-Prats, A. E.; Reves, M.; Echeverria, J.; Cremades, E.; Barragan, F.; Alvarez, S. Dalton Trans. 2008, 2832-2838,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,im,freq,Point,Group
   ********************************************************************************************************************************************************************,,,,,,,,,,,,
o  3aa-adbrettphos-00-lpdoh2,-4888.152543,-4885.462605,1.922902,-4886.102496,0.265249,0.243765,-4886.367746,-4886.346262,           C1,,,
o  3aa-adbrettphos-01-rxt,-3005.360468,-3003.586899,1.130116,-3004.152717,0.176669,0.162504,-3004.329386,-3004.315222,           C1,,,
o  3aa-adbrettphos-02-ts-rxt-c1,-3005.326902,-3003.543407,1.127842,-3004.120763,0.178172,0.164378,-3004.298935,-3004.285141,-92.46,           C1,,
o  3aa-adbrettphos-03-c1,-3005.336493,-3003.553153,1.128463,-3004.129302,0.177411,0.165596,-3004.306713,-3004.294897,           C1,,,
o  3aa-adbrettphos-04-ts-c1-c2,-3005.329031,-3003.548104,1.12749,-3004.123314,0.176957,0.164466,-3004.300271,-3004.28778,-175.4,           C1,,
o  3aa-adbrettphos-05-c2,-3005.3975,-3003.612336,1.130645,-3004.18885,0.176563,0.163997,-3004.365413,-3004.352848,           C1,,,
o  3aa-adbrettphos-06-c2-h2o,-3081.781124,-3079.918764,1.1562,-3080.544318,0.181917,0.168658,-3080.726234,-3080.712976,           C1,,,
